Country,Code,Year,Agriculture (% of GDP),GDP per capita,Population (historical),Region
Afghanistan,AFG,2021,33.59762,1516.2733,40000411,Asia
Africa,,2021,,,1413753270,
Africa (UN),,2021,,,1413753053,
Albania,ALB,2021,18.358126,14596.016,2849643,Europe
Algeria,DZA,2021,12.175657,11029.139,44761101,Africa
American Samoa,ASM,2021,,,49248,Oceania
Americas (UN),,2021,,,1029207261,Europe
Andorra,AND,2021,0.5336179,,78375,Europe
Angola,AGO,2021,11.486345,5911.8354,34532427,Africa
Anguilla,AIA,2021,,,14503,North America
Antigua and Barbuda,ATG,2021,2.0817866,20501.162,92358,North America
Argentina,ARG,2021,7.3063087,21599.797,45312283,South America
Armenia,ARM,2021,11.343549,14206.545,2870339,Asia
Aruba,ABW,2021,,37333.516,107565,North America
Asia,,2021,,,4716999175,Oceania
Asia (UN),,2021,,,4718316356,Oceania
Asia (excl. China and India),,2021,,,1806393856,Oceania
Australia,AUS,2021,2.3002527,49609.23,25956416,Oceania
Austria,AUT,2021,1.2186291,53817.305,8967053,Europe
Azerbaijan,AZE,2021,5.7259836,14433.904,10234373,Asia
Bahamas,BHS,2021,0.4762483,30463.084,396381,North America
Bahrain,BHR,2021,0.27920452,49754.047,1501762,Asia
Bangladesh,BGD,2021,11.632858,5911.013,167658855,Asia
Barbados,BRB,2021,1.6747577,13869.242,282156,North America
Belarus,BLR,2021,6.706845,19872.693,9251367,Europe
Belgium,BEL,2021,0.64160466,52174.906,11570842,Europe
Belize,BLZ,2021,7.9033175,8826.859,395356,North America
Benin,BEN,2021,28.52895,3321.552,13413423,Africa
Bermuda,BMU,2021,0.2970451,78570.49,64672,North America
Bhutan,BTN,2021,15.794779,11595.684,775451,Asia
Bolivia,BOL,2021,12.922923,8052.6,11937369,South America
Bonaire Sint Eustatius and Saba,BES,2021,,,27346,North America
Bosnia and Herzegovina,BIH,2021,5.023184,15893.156,3244909,Europe
Botswana,BWA,2021,1.7898449,14906.897,2401449,Africa
Brazil,BRA,2021,7.486922,14735.582,209550291,South America
British Virgin Islands,VGB,2021,,,37833,North America
Brunei,BRN,2021,1.2562902,60127.023,451723,Asia
Bulgaria,BGR,2021,4.368049,24386.18,6877222,Europe
Burkina Faso,BFA,2021,17.232513,2176.0933,21995249,Africa
Burundi,BDI,2021,28.66022,714.0667,12965487,Africa
Cambodia,KHM,2021,22.8475,4354.5654,16974308,Asia
Cameroon,CMR,2021,16.966105,3689.359,26915764,Africa
Canada,CAN,2021,,48356.332,38454058,North America
Cape Verde,CPV,2021,6.1172595,6356.745,516655,Africa
Cayman Islands,CYM,2021,0.4470358,69400.67,70126,North America
Central African Republic,CAF,2021,35.75533,838.19293,5112102,Africa
Chad,TCD,2021,25.303608,1425.4945,17828274,Africa
Channel Islands,OWID_CIS,2021,0.8167303,,,South America
Chile,CHL,2021,3.6453493,25412.752,19456323,South America
China,CHN,2021,7.2410173,17657.656,1426437276,Asia
Colombia,COL,2021,7.63534,14661.213,51188174,South America
Comoros,COM,2021,35.511654,3228.5269,818178,Africa
Congo,COG,2021,9.096749,3700.27,5892186,Africa
Cook Islands,COK,2021,,,15204,Oceania
Costa Rica,CRI,2021,4.366713,21220.162,5059992,North America
Cote d'Ivoire,CIV,2021,17.46652,5316.464,29639735,Africa
Croatia,HRV,2021,3.3015697,32060.504,3924607,Europe
Cuba,CUB,2021,0.88194096,,11122169,North America
Curacao,CUW,2021,0.25915578,21090.889,185324,North America
Cyprus,CYP,2021,1.6250081,43417.27,1317312,Europe
Czechia,CZE,2021,1.8453629,40744.457,10530683,Europe
Democratic Republic of Congo,COD,2021,19.04363,1073.6433,99148931,Africa
Denmark,DNK,2021,1.0889947,58802.96,5856773,Europe
Djibouti,DJI,2021,1.839329,4905.192,1121251,Africa
Dominica,DMA,2021,16.95815,10899.414,67223,North America
Dominican Republic,DOM,2021,5.665782,18626.078,11123480,North America
East Asia and Pacific (WB),,2021,5.77419,18645.273,,Europe
East Timor,TLS,2021,8.6206,5038.926,1350142,Asia
Ecuador,ECU,2021,9.414288,10668.758,17682454,South America
Egypt,EGY,2021,11.436933,12180.451,110957004,Africa
El Salvador,SLV,2021,4.857181,9190.174,6255781,North America
Equatorial Guinea,GNQ,2021,2.9029627,14730.601,1758796,Africa
Eritrea,ERI,2021,,,3350184,Africa
Estonia,EST,2021,2.0206544,38717.695,1331750,Europe
Eswatini,SWZ,2021,8.1003685,9086.701,1206599,Africa
Ethiopia,ETH,2021,37.579117,2319.1611,122138590,Africa
Europe,,2021,,,749931027,
Europe (UN),,2021,,,748613503,
Europe (excl. Russia),,2021,,,607809728,
Europe and Central Asia (WB),,2021,2.018331,35683.46,,
European Union (27),,2021,1.5979985,44410.605,447705923,
Faeroe Islands,,2021,14.234241,,,South America
Falkland Islands,FLK,2021,,,3524,South America
Faroe Islands,FRO,2021,,,53324,Europe
Fiji,FJI,2021,15.276481,10379.567,916717,Oceania
Finland,FIN,2021,2.436728,48614.82,5541068,Europe
France,FRA,2021,1.6172299,44941.438,66083547,Europe
French Guiana,GUF,2021,,,293023,South America
French Polynesia,PYF,2021,,,279807,Oceania
Gabon,GAB,2021,6.0164895,13822.509,2376728,Africa
Gambia,GMB,2021,22.418737,2076.5664,2576014,Africa
Georgia,GEO,2021,6.4663286,15486.659,3788450,Asia
Germany,DEU,2021,0.71193796,53395.65,83697082,Europe
Ghana,GHA,2021,19.657473,5420.792,32518662,Africa
Gibraltar,GIB,2021,,,36880,Europe
Greece,GRC,2021,3.6767902,29630.93,10579561,Europe
Greenland,GRL,2021,17.486322,,56065,North America
Grenada,GRD,2021,5.337846,13688.298,116695,North America
Guadeloupe,GLP,2021,,,399156,North America
Guam,GUM,2021,,,163741,Oceania
Guatemala,GTM,2021,9.298997,8927.302,17598654,North America
Guernsey,GGY,2021,,,63436,Europe
Guinea,GIN,2021,27.319918,2640.3442,13710516,Africa
Guinea-Bissau,GNB,2021,,1831.3832,2058842,Africa
Guyana,GUY,2021,13.4551935,21925.223,815484,South America
Haiti,HTI,2021,20.681429,2881.1765,11374592,North America
High-income countries,,2021,1.2813655,50378.188,1246789058,North America
Honduras,HND,2021,11.040848,5572.177,10289882,North America
Hong Kong,HKG,2021,0.07560271,60037.445,7484604,Asia
Hungary,HUN,2021,3.4866457,33583.785,9707848,Europe
Iceland,ISL,2021,4.4073586,53135.953,372649,Europe
India,IND,2021,17.326263,6677.185,1414203889,Asia
Indonesia,IDN,2021,13.280216,11859.437,276758056,Asia
Iran,IRN,2021,12.393096,15004.6875,88455491,Asia
Iraq,IRQ,2021,3.3107805,8786.582,43071210,Asia
Ireland,IRL,2021,0.99163556,104671.875,5028430,Europe
Isle of Man,IMN,2021,,,84121,Europe
Israel,ISR,2021,1.2610086,42379.156,8942925,Asia
Italy,ITA,2021,1.900184,42562.555,59729354,Europe
Jamaica,JAM,2021,8.340802,9605.191,2837682,North America
Japan,JPN,2021,1.0132809,41258.71,125679341,Asia
Jersey,JEY,2021,,,103337,Europe
Jordan,JOR,2021,4.7867527,9380.045,11066358,Asia
Kazakhstan,KAZ,2021,5.030002,26110.53,19743607,Asia
Kenya,KEN,2021,21.477076,4745.637,53219165,Africa
Kiribati,KIR,2021,23.093283,2007.987,128386,Oceania
Kosovo,OWID_KOS,2021,6.9233055,11884.182,1741449,Europe
Kuwait,KWT,2021,,45579.688,4360749,Asia
Kyrgyzstan,KGZ,2021,12.412233,4910.0864,6820483,Asia
Laos,LAO,2021,16.067698,7846.975,7453191,Asia
Latin America and Caribbean (WB),,2021,7.167695,15956.927,,Europe
Latin America and the Caribbean (UN),,2021,,,650465295,Europe
Latvia,LVA,2021,4.1363726,31833.842,1885592,Europe
Lebanon,LBN,2021,1.4001656,12986.913,5718127,Asia
Lesotho,LSO,2021,6.1170545,2239.3052,2261549,Africa
Liberia,LBR,2021,36.962097,1423.2296,5259326,Africa
Libya,LBY,2021,1.6993728,20273.88,7135180,Africa
Liechtenstein,LIE,2021,0.1660493,,39062,Europe
Lithuania,LTU,2021,3.3963053,39432.402,2794489,Europe
Low-income countries,,2021,26.274075,1921.8851,698215270,Europe
Lower-middle-income countries,,2021,15.941219,6865.1377,3180608875,Europe
Luxembourg,LUX,2021,0.19065003,118510,640276,Europe
Macao,MAC,2021,,66820.91,694404,Asia
Madagascar,MDG,2021,23.188223,1482.3761,29691087,Africa
Malawi,MWI,2021,22.77413,1491.1337,20047263,Africa
Malaysia,MYS,2021,9.574614,26407.316,34282405,Asia
Maldives,MDV,2021,5.3077893,18757.78,516162,Asia
Mali,MLI,2021,35.681828,2120.6233,22388638,Africa
Malta,MLT,2021,0.8887289,46598.96,524383,Europe
Marshall Islands,MHL,2021,25.076384,5976.0303,41386,Oceania
Martinique,MTQ,2021,,,353285,North America
Mauritania,MRT,2021,19.14858,5142.2812,4734875,Africa
Mauritius,MUS,2021,3.280236,20915.217,1279627,Africa
Mayotte,MYT,2021,,,294431,Africa
Mexico,MEX,2021,3.7934062,19617.76,127648152,North America
Micronesia (country),FSM,2021,22.275633,3320.9114,111636,Oceania
Middle East and North Africa (WB),,2021,5.087484,16066.921,,Europe
Middle-income countries,,2021,8.883469,11907.978,,Europe
Moldova,MDA,2021,10.586587,13703.939,3023780,Europe
Monaco,MCO,2021,,,38548,Europe
Mongolia,MNG,2021,13.163175,11668.431,3339678,Asia
Montenegro,MNE,2021,6.4614835,20710.535,603854,Europe
Montserrat,MSR,2021,,,4505,North America
Morocco,MAR,2021,11.995588,8065.986,36954442,Africa
Mozambique,MOZ,2021,26.89459,1231.8641,31707797,Africa
Myanmar,MMR,2021,22.78529,4113.8936,53387102,Asia
Namibia,NAM,2021,9.49037,9208.583,2810553,Africa
Nauru,NRU,2021,,10989.622,11726,Oceania
Nepal,NPL,2021,22.021452,3853.6802,29475018,Asia
Netherlands,NLD,2021,1.5169076,57334.703,17730564,Europe
New Caledonia,NCL,2021,,,285226,Oceania
New Zealand,NZL,2021,,44041.902,5107696,Oceania
Nicaragua,NIC,2021,15.528868,5692.035,6644745,North America
Niger,NER,2021,36.481026,1186.53,24502144,Africa
Nigeria,NGA,2021,23.35706,4922.6323,218529285,Africa
Niue,NIU,2021,,,1836,Oceania
North America,,2021,,,600876352,Asia
North America (WB),,2021,1.0179687,62061.168,,Asia
North Korea,PRK,2021,,,26232531,Asia
North Macedonia,MKD,2021,7.1475353,16708.598,1851109,Europe
Northern America (UN),,2021,,,378741971,Oceania
Northern Mariana Islands,MNP,2021,,,47003,Oceania
Norway,NOR,2021,1.5988692,65915.53,5408081,Europe
Oceania,,2021,,,44558538,Asia
Oceania (UN),,2021,,,44558212,Asia
Oman,OMN,2021,2.1207798,34294.766,4500427,Asia
Pakistan,PAK,2021,22.662508,5233.4595,239477805,Asia
Palau,PLW,2021,3.4577088,14112.668,17809,Oceania
Palestine,PSE,2021,6.3167486,5641.0444,5185341,Asia
Panama,PAN,2021,2.6550734,30416.793,4345410,North America
Papua New Guinea,PNG,2021,18.989937,3637.9133,10012899,Oceania
Paraguay,PRY,2021,11.278901,13676.391,6684184,South America
Peru,PER,2021,7.2184615,12533.842,33155883,South America
Philippines,PHL,2021,10.069166,8095.5796,113100946,Asia
Poland,POL,2021,2.2418559,34944.04,38040304,Europe
Portugal,PRT,2021,2.150372,33636.44,10390956,Europe
Puerto Rico,PRI,2021,0.66758233,32766.666,3253210,North America
Qatar,QAT,2021,0.29823968,92895.34,2814989,Asia
Reunion,REU,2021,,,868084,Africa
Romania,ROU,2021,4.5092473,30946.277,19248159,Europe
Russia,RUS,2021,3.8700013,28057.031,145836172,Europe
Rwanda,RWA,2021,24.096308,2237.514,13355260,Africa
Saint Barthelemy,BLM,2021,,,10790,North America
Saint Helena,SHN,2021,,,5415,Africa
Saint Kitts and Nevis,KNA,2021,1.2393236,26460.477,46786,North America
Saint Lucia,LCA,2021,1.520491,13045.966,178540,North America
Saint Martin (French part),MAF,2021,,,29986,North America
Saint Pierre and Miquelon,SPM,2021,,,5802,North America
Saint Vincent and the Grenadines,VCT,2021,5.356688,13839.464,102848,North America
Samoa,WSM,2021,9.852789,5534.566,213792,Oceania
San Marino,SMR,2021,0.016625393,61609.01,34599,Europe
Sao Tome and Principe,STP,2021,15.266177,3502.4353,221975,Africa
Saudi Arabia,SAU,2021,2.6751661,46768.434,31328374,Asia
Senegal,SEN,2021,15.468724,3511.6375,17220866,Africa
Serbia,SRB,2021,6.29319,19860.31,6835434,Europe
Seychelles,SYC,2021,2.8836474,27928.373,123000,Africa
Sierra Leone,SLE,2021,57.448788,1614.8599,8094603,Africa
Singapore,SGP,2021,0.031473704,107741.12,5546292,Asia
Sint Maarten (Dutch part),SXM,2021,,38360.527,41590,North America
Slovakia,SVK,2021,1.778465,32512.695,5442767,Europe
Slovenia,SVN,2021,1.6839955,40104.36,2113495,Europe
Solomon Islands,SLB,2021,,2397.3228,762594,Oceania
Somalia,SOM,2021,,1458.2279,17271435,Africa
South Africa,ZAF,2021,2.557299,13337.79,61502601,Africa
South America,,2021,,,428331420,South America
South America (excl. Brazil),,2021,,,220974576,South America
South Asia (WB),,2021,17.098837,6361.804,,South America
South Korea,KOR,2021,1.8556643,44299.91,51848401,Asia
South Sudan,SSD,2021,,,10865786,Africa
Spain,ESP,2021,2.7307758,38319.29,47735670,Europe
Sri Lanka,LKA,2021,8.834625,13250.63,22700377,Asia
Sub-Saharan Africa (WB),,2021,17.02323,3726.195,,Africa
Sudan,SDN,2021,6.357092,3701.069,48066927,Africa
Suriname,SUR,2021,8.900155,14811.24,617905,South America
Svalbard and Jan Mayen,SJM,2021,,,2400,Europe
Sweden,SWE,2021,1.2880936,54160.367,10416136,Europe
Switzerland,CHE,2021,0.62593246,71044.87,8707018,Europe
Syria,SYR,2021,27.822147,,21628840,Asia
Taiwan,TWN,2021,,,23558330,Asia
Tajikistan,TJK,2021,22.449081,3910.4626,9966912,Asia
Tanzania,TZA,2021,24.78845,2584.3977,62830413,Africa
Thailand,THA,2021,8.708376,17087.21,71727340,Asia
Togo,TGO,2021,18.814455,2130.859,8878384,Africa
Tokelau,TKL,2021,,,2225,Oceania
Tonga,TON,2021,16.323248,6142.9634,105504,Oceania
Trinidad and Tobago,TTO,2021,1.4709468,23036.256,1487715,North America
Tunisia,TUN,2021,10.138725,10395.913,12048625,Africa
Turkey,TUR,2021,5.533753,31722.16,86686255,Asia
Turkmenistan,TKM,2021,11.74854,14696.823,7092041,Asia
Turks and Caicos Islands,TCA,2021,0.38936472,19763.545,45260,North America
Tuvalu,TUV,2021,,4604.402,10214,Oceania
Uganda,UGA,2021,23.841805,2246.414,45910932,Africa
Ukraine,UKR,2021,10.885772,12949.326,44298641,Europe
United Arab Emirates,ARE,2021,0.9434184,70028.02,9789054,Asia
United Kingdom,GBR,2021,0.7095639,45567.57,67668789,Europe
United States,USA,2021,0.95956665,63635.824,340161441,North America
United States Virgin Islands,VIR,2021,,,87238,North America
Upper-middle-income countries,,2021,7.00332,17634.266,2826094366,South America
Uruguay,URY,2021,8.12893,23257.256,3396692,South America
Uzbekistan,UZB,2021,24.618288,7800.5015,34243696,Asia
Vanuatu,VUT,2021,,2800.494,305883,Oceania
Vatican,VAT,2021,,,527,Europe
Venezuela,VEN,2021,,,28237831,South America
Vietnam,VNM,2021,12.56037,10628.22,98935101,Asia
Wallis and Futuna,WLF,2021,,,11590,Oceania
Western Sahara,ESH,2021,,,558625,Africa
World,OWID_WRL,2021,4.2982464,17091.352,7954448405,Asia
Yemen,YEM,2021,,,37140233,Asia
Zambia,ZMB,2021,3.0009184,3287.4204,19603610,Africa
Zimbabwe,ZWE,2021,8.849899,2115.1445,15797220,Africa